word,definition
ASTA,Una vendita con gli offerenti
ASTA,Serve per saltare
RISALTARE,Spiccare... ma non un balzo
MORTALI,I salti più pericolosi
ALANI,Cani molto alti
MORTARETTO,Alcuni lo fanno scoppiare per divertimento
ASSIEME,Così lavorano i membri dell'équipe
RASPA,Un arnese per smussare
DUMBO,L'elefantino capace di volare in un film Disney
ALLORO,Il sempreverde che cingeva la fronte dei vincitori
TULLE,Il tessuto usato per i sacchettini dei confetti
SCARICABARILE,Il gioco da ragazzi schiena contro schiena
LANTERNA DI DIOGENE,Si dice che la usa chi compie una ricerca meticolosa
PROFORMA,Un controllo fatto solo perché lo si deve fare
PARAFFINA,Serve per fare candele
SCARICABARILE,Un gioco per chi non vuole responsabilità
SCARICABARILE,Palleggiamento di responsabilità
SCARICABARILI,Un modo di sfuggire alle proprie responsabilità
FALLI,Le colpe del calciatore
OSTI,Sono maestri nel fare i conti
ARNESI,I ferri del mestiere dell'artigiano
BOCCONE,Lo si inghiotte prima di parlare
LORD,Il titolo dell'elegante Brummell
MEIN,Mio per Goethe
VERRICELLO,L'argano per sollevare l'ancora
PECORINO,Su certi piatti si grattugia invece del parmigiano
SISTRO,Lo strumento di Iside
SASSOFONO,Uno strumento musicale a fiato
ARPISTE,Suonano pizzicando
ARPISTE,Pizzicano i loro strumenti
ARPE,Strumenti che si pizzicano
ASTROFOTOMETRO,Strumento per misurare la luminosità delle stelle
DEI,Ognuno di loro aveva i propri adoratori
AL PACINO,Uno dei grandi attori di Hollywood
TORNANTE,Una curva da strada in forte pendenza
NASSE,Ceste per pescare
PROVA GENERALE,Lo spettacolo che precede la prima rappresentazione
FRIDAYS FOR FUTURE,Movimento di protesta giovanile a difesa del clima
ISOCRONISMO,Proprietà del pendolo che fu scoperta da Galileo
PASSAGGIO,Il notaio ratifica quello di proprietà
EREDE,Entra in possesso di quello che gli lasciano
EREDE,Il legittimo successore
EREDE,Subentra al defunto
EREDITARE,Succedere nella proprietà
EREDE,Subentra per successione
MORI,Nella bandiera sarda
PROTEINE,Ne è ricco il formaggio
PAPERONE,Un riccone di Walt Disney
PROTEO,Il dio marino trasformista
PSICOSOMATICA,La medicina che si occupa della mente e del corpo
PUBLILIO SIRO,Un poeta latino di Antiochia del secolo I a.C.
PRONOSTICI,Ne fa chi gioca al totocalcio
PRONOSTICI,Si scrivono sulla schedina
SISTEMA,Lo giocano certi totocalcisti
POTERI,Il dittatore li detiene tutti 
TELEPASS,Un sistema di pagamento ai caselli
MAZZETTA,Il... denaro che corrompe
TAPPATA,Chiusa in casa
TOURNEDOS,Medaglioni di filetto di bue
SORRIDERE,Mostrare benevolmente i denti
SOVERCHIO,... rompe il coperchio!
SOGLIOLE,Caratteristici pesci appiattiti
SOGLIOLE,Pesci appiattiti
SOGLIOLE,Sono ottime alla mugnaia
PRONTE,Già preparate
LASAGNE,Sono gustose quelle verdi
SOGLIOLE,Pesci piatti ottimi alla mugnaia
STIMOLANTI,Sono vietati a tutti i ciclisti
COPIE,Gli esemplari del giornale
TIGER,Il Woods famoso giocatore di golf
RAFANO,Il nome italiano del cren
COLEMAN,L'Ornette sassofonista del free jazz
ARIANA,"__ Grande, popstar statunitense"
ACID,Un jazz moderno
COOL,Il jazz opposto all'hot
COOL,"Alla moda, fantastico"
COOL,Fantastico per i giovani
BESTIA,Un animale... in contrapposizione con l'uomo
CECIL,"Il Taylor, grande pianista di jazz"
IN,Incredulo all'inizio
TARA,Difetto ereditario
ISOLE MASCARENE,Arcipelago al largo del Madagascar
TOSTI,Duri da convincere
ATTONITE,Rimaste di stucco
STOUT,Un tipo di birra scura
PRESSIONE ATMOSFERICA,L'aria la esercita sui corpi
LEADERSHIP,L'esercita chi ha carisma
CESAROPAPISMO,Sistema in cui lo Stato esercita anche il potere religioso
PARLAMENTO,Comprende due Camere
PARLAMENTO,Discute i progetti di legge
PARLAMENTO,Adunanza pubblica
DECRETO,Atto legislativo emanato dal governo
PRANOTERAPIA,Si esercita imponendo le mani
TALISMANO,Oggetto... dal potere magico
LILLO,Conduce programmi radio con Greg
AERONAUTI,Compivano ascensioni in pallone
PESISTI,Sportivi forzuti e corpulenti
AIRONE ROSSO,Trampoliere presente in Pianura Padana e Toscana
BADIA,La valle dell'Alto Adige con Corvara e San Martino
CAORSO,La località del Piacentino con una centrale nucleare
GIOSAFAT,Nella sua valle Dio giudicherà le genti
GARDENA,La valle in cui giace Ortisei
GARDENA,La valle con Ortisei
GARDENA,Valle delle Dolomiti dove si parla ladino
VAL GARDENA,La pittoresca zona dell'Alto Adige con Ortisei
OSSOLA,La Valle del Toce
ROBA,Non desiderare quella d'altri
FIOCCHI,Vele triangolari
MARIANO,Il mese della Madonna
INFORMI,"Amorfi, confusi"
ALIMENTARI,I generi che si mangiano
SOGNATORE,Lo è chi vive tra le nuvole
SCREMATURA,Un'operazione da caseifici
PRONTI CONTRO TERMINE,Un'operazione di titoli
CILINDRATURA,Operazione con cui si spianano e lucidano tessuti
CONQUISTA,Presa di possesso
CONQUISTA,Un successo militare
CONQUISTA,La riuscita d'un corteggiamento
GIUSTA,Così è l'operazione che quadra
RIELETTA,Nuovamente vittoriosa alle elezioni
ARIETE,Antica macchina bellica
PROFONDI,Lo sono i discorsi che inducono a riflettere
RANCIDO,Rende disgustoso il burro
FORZATI,Gli ozi non voluti
ROCCE,Quelle granitiche sono durissime
NORCINI,Preparano gli insaccati
AURELIO,"Marco __, imperatore romano del secolo II d.C."
FRONTE DEL PORTO,Celebre film di Elia Kazan con Marlon Brando
USTICA,L'isola a nord di Palermo
CASTELLO DI LOMBARDIA,La fortezza di Enna
I VESPRI SICILIANI,L'opera verdiana ambientata a Palermo
CONCA D'ORO,La pianura in cui sorge Palermo
CONCA D'ORO,Pittoresca zona in cui sorge Palermo
CONCA D'ORO,La zona in cui sorge Palermo
CREATO,Tutto ciò che ci circonda
RAISI,Punta... presso Palermo
CLONI,Copie identiche
GHIOTTONERIE,Inducono a peccare di gola
PORTO D'ARMI,Lo ha il vigilante
BRACA,Allacciatura per chi lavora sospeso
BACIO,Suggello d'amore
FARFUGLIARE,Borbottare qualcosa
DODECAFONIA,Il genere musicale di Berg e di Schönberg
DISCORSO INDIRETTO,Modo di narrare un dialogo
DNA,Ha la struttura a doppia elica
DIPLOMA,Conferisce un titolo
DIPLOMA,L'ha conseguito il perito
PAGELLA,Un attestato scolastico
FILINI,Il ragioniere amico di Fantozzi
TESSERA,Si rilascia a chi si iscrive
DIPINTA,Fatta a pennello
DIPENDENTI,Formano il personale
DIPENDENTE,Lavoratore... non autonomo
DIPANARE,Sciogliere una matassa
DIOCESI,La giurisdizione di competenza del vescovo
DINASTIE,Stirpi regali
TREND,L'andamento del mercato economico
TREVIRI,Vi nacque sant'Ambrogio
TRIAGE,Fissa le urgenze nel Pronto Soccorso
TRAPASSATO,Forato da parte a parte
TRAPASSATO,Forato da una parte all'altra
TRAPASSATO,Un tempo del verbo
AVO,Il più remoto è il capostipite
ARCO,Più si tira e più s'incurva
FLACCIDI,"Flosci, cascanti"
CHIUSA,Uno sbarramento sul fiume
AUTOSTRADA DEI DUE MARI,L'arteria che va da Napoli a Canosa di Puglia
PERE,Sono buone con il formaggio
PAVESE,Una delicata zuppa di brodo con l'uovo
PAVANA,Una lenta danza del '500
PELORITANI,I monti vicini a Messina
PATTUMIERA,Recipiente per rifiuti
PATTUMIERA,Più è capace e più rifiuti ha
CARRO RIFIUTI,Veicolo per la raccolta dell'immondizia
ARNIA,Cassetta con il melario
UROLOGIA,Gli specialisti per la nefrite
FCA,Il gruppo guidato da Elkann
LIDO,La spiaggia attrezzata
MEME,Le foto con battuta comica che girano online
RALLE,Anelli in cui girano i perni
GIOSTRE,Girano nei luna park
CICLOTURISTI,Girano il mondo in bici
PISTA CICLABILE,Si percorre solo pedalando
ROTORI,Girano nelle turbine
TERZO,Il mondo più arretrato
RAT,È più grosso del mouse
INSERITO,"Frammesso, introdotto"
RANFOTECA,Il becco degli uccelli con termine scientifico
GLASGOW,Il principale centro industriale della Scozia
SESTRI PONENTE,Zona industriale di Genova
CITY,Il quartiere degli affari di Londra
CIR,Campionato Italiano Rally
CIR,La Holding della famiglia De Benedetti (sigla)
PORDENONE,Centro industriale friulano
ENI,Holding energetica
LEHMAN,"__ Brothers, la banca d'affari Usa fallita nel 2008"
VENDÔME,Un'elegante piazza di Parigi con lussuosi negozi
PITTURATA,"Tinteggiata, verniciata"
COSTA,Lembo di terra bagnato dalle acque
BRIGATA DI CUCINA,Lavora agli ordini dello chef
MENDICANTI,"Gli Ordini come i Domenicani, i Cappuccini e i Francescani"
BRIGATA,È agli ordini di uno chef
SACRE,Lo sono le vacche per gli Indù
MIELE,Ne sono ghiotti gli orsi
SILENZIAMENTO,Riduzione della rumorosità
ESAME,"Prova, analisi"
CAPO,Si agita per far segno di sì o no
AUDITING,La revisione del bilancio aziendale
PROTOATTINIO,Un elemento radioattivo
AVALLONE,La Silvia che ha scritto Acciaio
ATTA,La formica tagliafoglie
ATTA,"Adatta, idonea"
ATTA,"Adatta, disposta"
ADATTA,"Abile, idonea"
INTERATTIVO,Capace di esercitare un'influenza reciproca
UE,Tiene insieme molti Paesi
STEREOSCOPIA,Percezione visiva in rilievo
APPASSIONARE,Destare molto interesse
KOT,Può interrompere il match
PENTATHLON MODERNO,"Complesso di cinque gare, con equitazione, nuoto e corsa campestre"
BARRAGE,Lo spareggio in equitazione
PENTATHLON,La gara con cinque prove
PENTATHLON,Una specialità olimpica
PENTATHLON,La gara costituita da cinque prove di atletica
MANEGGI,I centri per l'equitazione
AMERICA DEL SUD,Comprende Suriname e Guayana
CANTASTORIE,Menestrello moderno
SCONTRI,Gli assalti nella scherma
ACI,__ Trezza e __ Castello: sono presso Catania
ROTATORIO,Il movimento che s'imprime al martello prima del lancio
RECIPIENTI,Sono fatti per contenere
RICHTER,Ideò una scala dei terremoti
RIGOLETTO,L'opera di Verdi con Gilda e Sparafucile
MAROCCO,Lo Stato del Nordafrica con Rabat
SEGHERIE,Fabbriche di assi
FILETTATRICE,Macchina utensile per fabbricare le viti
EOS,Una diffusa macchina fotografica della Canon
LINEETTE,Se ne fanno due per fare l'uguale
OIDIO,È un flagello per le viti
LASCIAPASSARE,Documento che apre tutte le strade
NARCOTERAPIA,La cura che fa dormire
DATTILOSCRITTO,Un testo battuto a macchina
LINGUA,L'ha lunga il chiacchierone
ELOGIATO,"Lodato, encomiato"
PERLACEE,Iridescenti e lattiginose
BUJUMBURA,Era la capitale del Burundi
TOSTAPANE,Un elettrodomestico in cucina
MELBA,Ci ricorda un dolce con le pesche
GELATIERA,Macchina per preparare sorbetti
GELATIERA,Macchina per sorbetti
GELATIERE,Per fare i sorbetti
EPIDEMIA,"Quando scoppia, dà da fare a tutti i medici"
CACTACEE,Una famiglia di piante grasse
CHIESA,Sant'Agostino ne è un Padre
NERVO,Trasmette sensazioni
ALLEN,L'inconfondibile Woody
TOPPA,Il buco della serratura
BAR,La Refaeli fra le top model
AGRONOMIA,Una scienza da coltivatori
ACCA,La storica Larenzia
ACCA,La fine del match
ACCA,Una bomba nucleare
ACCA,È la quinta di Beethoven (ma non è una celebre sinfonia)
ARIETE,Antica macchina per sfondare le mura
SUB,Indossano la muta
IRTE,Piene... di ostacoli
ILONA,La nota Staller
NOS,Noi secondo Cicerone
PARINI,L'autore de Il giorno
GIAN,Il Burrasca... discolo
SVARIONI,Grossi spropositi
TRICHECO,Foca zannuta
OTARIA,Un pinnipede dell'Antartide
ALPACA,Camelide simile al lama
BABIRUSSA,Suino munito di zanne
TRICHECO,Il pinnipede fornito di zanne
TRICHECO,Il pinnipede zannuto
TRICHECO,Con il falegname in un poemetto di Lewis Carroll
ALISCAFO,Un'imbarcazione munita di sci
CINGHIALI,Hanno zanne sporgenti
SCIALPINISTA,Sportivo che usa le pelli di foca per salire
VERTEBRE,Le ossa disposte in colonna
ARAGOSTA,Prelibato e costoso crostaceo
BRASILE,Lo Stato con Rio de Janeiro
VENTI,Quattro per cinque
UVA,Cresce a grappoli
ANDE,La catena montuosa del Cile
GRU,È a ponte nel capannone
COLONNA DI NELSON,Svetta in Trafalgar Square
TOUR EIFFEL,Svetta sulla Ville Lumière
BEN NEVIS,Svetta in Gran Bretagna
GRU,Una macchina da cantieri
GRU,Un'attrezzatura del porto
GRU,Viene manovrata nel cantiere edile
EDILI,Lavorano in cantiere
MOLE ANTONELLIANA,Svetta su Torino
INGEGNERE,Se è edile può progettare palazzi
GOTA,Guancia
GOTA,L'arrossa un ceffone
GOTA,Una parte della faccia
GOAL,Lo segna spesso l'attaccante
GOAL,Fa esplodere lo stadio
GOAL,Fa gioire i tifosi
SEMENZAI,Producono le pianticelle per i vivai
ANNATE,I raccolti dei contadini
GLEBA,La terra dei contadini feudali
RASTRELLI,I... pettini dei contadini
TURBINA,Una macchina dotata di ruota a pale
AVVII,Le accensioni dei motori
SCHIZZI,Abbozzi di disegno
RITT,Ha diretto La lunga estate calda
VICESEGRETARIO,Un funzionario di alto grado
LARIANA,L'Abbadia in provincia di Lecco
INNESTATO,Trapiantato dall'agronomo
ADDIRE,Dedicare... con un termine letterario
KURSAAL,Locale di ritrovo e spettacoli nelle stazioni di cura
GENOTIPO,In ogni individuo è formato dalle molecole del DNA
CANE MOLECOLARE,È addestrato a riconoscere l'odore di un individuo
PERSONAGGIO,Individuo importante per la fama che ha conquistato
MORDACITÀ,La pungente maldicenza che è propria delle satire
OCCHIALI,Permettono una migliore visione
PAMIR,L'altopiano tra l'Afghanistan e la Cina detto Tetto del mondo
ISAAC,"__ Stern, violinista"
ASTRARSI,Evadere con il pensiero
HANOI,Vi nacque Henri Laborit
ZONA,Nel calcio c'è quella Cesarini
DANAE,Giove le si presentò trasformato in pioggia d'oro
LAMANTINO,Il mammifero acquatico detto anche manato
BUE MARINO,Altro nome del dugongo
MEHARI,Dromedari da sella
INIE,Cetacei dei fiumi sudamericani
LAMANTINO,È simile al dugongo
COATI,Mammiferi sudamericani affini ai procioni
ALCE,Mammifero dalle vistose corna
OCA,Un grosso palmipede
SEDIMENTAZIONE,Provoca il deposito nei fiumi
TEPPISTI,I vandali d'oggigiorno
ESCHILO,Grande poeta tragico greco
I FIORI DEL MALE,Una celebre raccolta di poesie di Baudelaire
JEROME,Scrisse Tre uomini in barca
ROSTAND,Scrisse Cirano di Bergerac
BALZAC,Il francese che scrisse La commedia umana
TITANIA,La sposa del re Oberon
ODISSEA,Il poema di Omero che ha Ulisse come suo protagonista
CRODA,__ di re Laurino: la cima delle Dolomiti
FOTORITOCCO,Migliora l'istantanea
IPO,Prefisso per diminuzione
PATROCINATORE,L'avvocato difensore
VAN,"Linus e Lucy __ Pelt, personaggi dei Peanuts"
VAN ALLEN,Sono note le sue fasce radioattive
USURAIO,Strozzino
USURAIO,Pretende interessi spropositati
USURAIO,Persona estremamente avida e avara
SCELLERATA,"Infame, indegna"
GAS,Si spegne chiudendo un rubinetto
PRODEZZA,Una bravata da spacconi
NIET,La negazione di Putin
VAN DER WEYDEN,Rogier __: il pittore fiammingo autore del Trittico dell'Annunciazione
GIOVE,Il più grande pianeta
OTTOMILA,Così vengono dette le più alte vette della Terra
TROPICO,Un parallelo della Terra
RASENTE,"Vicinissimo, che ha quasi sfiorato"
HALLEY,Diede il nome a una cometa
KARTING,Lo sport con vetturette terra terra
KEITH,"__ Jarrett, jazzista"
BORT,Un diamante opaco
GUAIRE,Piangere come un cane
LETTERALI,Le traduzioni più fedeli
GIGOLÒ,"American __, film del 1980 con Richard Gere"
TIESTE,Fece uccidere Atreo
MONADE,L'atomo metafisico della filosofia di Leibniz
CONDORCET,"Nicolas de __, matematico, economista e filosofo membro dell'Académie française"
ZENONE,Il filosofo della Stoà
ZENONE,Fondò la scuola stoica
ZENONE,Il filosofo dello stoicismo
PARMENIDE,Un grande filosofo di Elea
COSTOLA,L'osso che originò Eva
ACROTERIO,Elemento posto sul frontone del tempio greco
SCINTILLAZIONI,Le variazioni della luminosità delle stelle
NOUAKCHOTT,È la capitale della Mauritania
PANOPLIA,Trofeo murale d'armi
POSTAZIONE,Il sito occupato da un pezzo di artiglieria
CRUISER,Grosso motoscafo da crociera
CANNONE,Un pezzo con l'affusto
OBICE,Pezzo di artiglieria
CANNONE,È fissato sull'affusto
MORTAIO,Un pezzo d'artiglieria
MORTAIO,Si usa con il pestello
OBICE,Una bocca da fuoco
OBICI,Tozzi pezzi d'artiglieria
TIGRE,Il più grosso dei felini
ACCESSORIO,Un pezzo optional
RADIO,Si può ascoltare anche in streaming
BAITA,Vi trova ristoro l'alpinista
INIQUITÀ,"Scelleratezza, malvagità"
CLINICI,I medici che insegnano all'ospedale
LOS,San Francisco e __ Angeles
GIBILTERRA,Lo stretto considerato la fine del mondo
CARACAL,Una lince africana
MONTE PALOMAR,Vi ha sede un grande osservatorio californiano
MASERU,"La capitale del Lesotho, lo Stato africano"
EMI,Storica etichetta discografica che aveva sede a Londra
UGO,Il nome del Fantozzi di Villaggio
BIOLOGO,Uno studioso come Pasteur
CRAVATTE,Nel guardaroba dell'uomo
PORTATOVAGLIOLO,Un anello sulla tavola
CROTALO DIAMANTINO,È il più grosso dei serpenti a sonagli
LINEE,Si tracciano con la matita
FERREI,Robusti o inflessibili
RIANIMATORI,Medici d'urgenza
ABBINAMENTO,Il legame undici-sponsor
DOLORINO,Una sensazione di fastidio
ARTEFATTO,Tutt'altro che genuino
TONDI,Lo sono i visi paffuti
SCALARE,Un verbo da alpinisti
SAN DAMIANO,Chiesetta ai piedi di Assisi
BOERI,I coloni sudafricani di origine olandese
DESMOND,"__ Tutu, arcivescovo africano, Nobel per la pace"
SWAZILAND,Il piccolo Stato tra Sudafrica e Mozambico
LESOTHO,Lo Stato con Maseru
LESOTHO,Lo Stato africano con capitale Maseru
LESOTHO,Lo Stato con Maseru compreso nel Sudafrica
AAR,Scorre interamente in Svizzera
MANDELA,Il primo presidente del Sudafrica dopo l'apartheid
INTESO,Udito e... compreso
DOLCE,Tale è l'acqua piovana
TROO,"Il padre di Ilo, da cui prese nome Troia"
BASICHE,Povere di acidi
PINETA,Un bosco di sempreverdi
ADDAMS,La bizzarra famiglia con Gomez e Morticia
THE,Un articolo inglese
CARDIOTONICO,Stimola l'azione del cuore
PORTICO DI OTTAVIA,Il monumento romano nel cuore del quartiere ebraico
HOFBURG,Monumentale complesso imperiale nel cuore di Vienna
LO,Fine del volo
LO,Alla fine del secolo
LO,Articolo da studente
INSOLAZIONE,Malore estivo
SPONTANEI,Suggeriti dal cuore
TARCISIO,Il giovane lapidato perché portava le ostie ai Cristiani rinchiusi nel circo
LIMA,La usa il falegname
LETTERE,Formano l'alfabeto
ARIETIDI,Sciame meteorico visibile ogni anno tra la fine di maggio e l'inizio di luglio
SERA,Ha inizio al tramonto
TEDOFORO,Accende la fiamma all'inizio dei Giochi olimpici
LO,Articolo da studioso
LO,Vale... il
ELSA,Se ne innamora Lohengrin
GIORNO DELLE CENERI,Dà inizio alla Quaresima
MODA,Usanza del momento
LIMO,In geologia è un terriccio finissimo in sospensione nelle acque
LIME,Utensili del fabbro
PIRAMIDE UMANA,Spettacolo da acrobati
ROCCHETTO,Ciò che resta alla fine del refe
POSTIMPRESSIONISTI,I pittori d'avanguardia alla fine dell'800
LO,Articolo per scolaro
LO,La coda del mulo
LO,Al plurale... si allunga
CUCCIARI,La Geppi dello spettacolo
GONG,Segnala la fine del round
LIME,Sono formate da una barra dentata di acciaio
LIGI,"Zelanti, precisi"
ULAN BATOR,La capitale della Mongolia
RANGOON,L'ex capitale della Birmania
PARIGINA,Una francese della capitale
ONOMANZIA,La predizione del futuro in base al nome proprio
CEREALE,Un vegetale come l'avena
RESIDENTI,Gli abitanti che parcheggiano in aree a loro riservate
LAT,Latino nelle abbreviazioni
PLAYBACK,"Chi lo usa, fa solo finta di cantare"
CISTIFELLEA,Il sacchetto della bile
OTITE,Una malattia dell'orecchio
BARBAZZALE,La catenella fissata al morso dei cavalli
PIETRA D'INCIAMPO,Targa commemorativa fissata nei marciapiedi
DEMOSTENE,Pronunciò le prime Filippiche
STATI,Sono divisi dai confini
ASSICURATA,Fissata saldamente
TOPIC,L'argomento nei forum
DELIZIA,Cosa che reca grande piacere
SATOLLE,Lo stesso che sazie
PORCELLINO,Quello d'India è una cavia
POPCORN,Granturco abbrustolito
RASENTE,A un pelo di distanza
PESTICIDA,Protegge le piante dall'attacco dei parassiti
TACKLE,Il contrasto fra i calciatori
SVINCOLO,Il ritiro di merce in dogana
SVARIONE,Un grossolano errore
SUOI,Gli appartengono
SUOI,Né miei né tuoi
TUE,Un possessivo plurale
GENERI,I parenti... che possono essere di prima necessità
MARITO,"Coniuge, sposo"
SPREGIO,Disprezzo
CAV,Va fiero della sua croce
ONDA,Maroso
CEFFONE,Un forte manrovescio
STRIATI,Solcati da scanalature
RAZZA,Pesce simile al rombo
FIBRE TESSILI,Si usano per fare stoffe
BACCARAT,Pregiati cristalli francesi
BALLON,Un calice per rossi pregiati
LINI,Tessuti da camicie estive
LINI,Formavano il corredino del neonato
OROLOGI,Sono pregiati quelli svizzeri
LANERIA,Un insieme di tessuti e filati di origine ovina
LIMO,"Fanghiglia, mota"
LIMO,"Fango, poltiglia"
LIME,Arnesi per lisciare
LIMA,La capitale del Perù
LESO,Ha subito un danno fisico o morale
LINAIOLO,Un lavoratore di tessuti nella Firenze medievale
SLOT,L'arco di tempo che un aereo ha per il decollo
AORISTO,Un tempo dei verbi greci
LINI,Panni per neonati
NOME,Si impone ai neonati
AGIO,Il tempo di fare una cosa
LIGI,Attaccati al proprio dovere
LESI,"Feriti, offesi"
LIPPA,Gioco per ragazzi di tanti anni fa
LITTLE BIGHORN,La battaglia in cui morì il colonnello Custer
LINKEDIN,Un social network con profili professionali
LINI,Avvolgono i neonati
LINI,Tessuti fini
AMMOLLO,Prolungata immersione in acqua della biancheria da lavare
COPRIMATERASSO,La fodera sotto le lenzuola
LIMA,Arnese del fabbro
NEONATI,Versano le prime lacrime
IL PIACERE DELL'ONESTÀ,Una commedia di Luigi Pirandello
LITUI,Antiche trombe romane
LINI,Tessuti per camicie estive
BIBERON,Si mette in bocca ai neonati
GEA,Generò i Ciclopi e i Titani
POLISONNOGRAFIA,Esame per determinare come si è passata la notte
ANACRONISMO,Cosa di un'epoca passata
TEREDINI,Molluschi che rodono le carene delle barche
LIME,Un agrume per il mojito
LIME,Polverizzano il ferro
LIME,Ruvidi arnesi
REVIVAL,Il ritorno in auge di una moda passata
TARLI,Dove rodono lasciano polvere
BAZAR,Negozio fornito di ogni cosa
LIMA,Una capitale sudamericana
LIMA,Si usa per lisciare parti metalliche
LIMA,Serve al fabbro
LIGI,Ossequiosi al dovere
LESO,Lo è l'organo danneggiato
LIMBO,Il ballo caraibico in cui si passa sotto un bastone
LINEA GOTICA,Divise l'Italia durante l'ultimo conflitto
LILIOM,Un celebre dramma di Molnár
LIGI,Scrupolosi nel dovere
LIGI,Legati al proprio dovere
METICOLOSI,Molto scrupolosi
LETTERE,Si spediscono
LESO,Ferito o danneggiato
FORD,Ha interpretato Indiana Jones: Harrison __
CARATTERISTI,Interpretano ruoli limitati
FARROW,Fu compagna di Woody Allen
SCOOP,Un colpo di fortuna per fotografi e giornalisti
SCOOP,Una notizia bomba
SCOOP,Fa trasecolare i lettori
IO E ANNIE,Popolare film di Allen
IO E ANNIE,Un film con Diane Keaton
IO E ANNIE,Film diretto e interpretato da Woody Allen
GULLOTTA,Doppiò Woody Allen
STARDUST MEMORIES,Il film di Woody Allen ispirato a 8 1/2 di Fellini
LEO,Edoardo del film Non ci resta che il crimine
MONODIREZIONALE,Lo è un percorso con un solo senso di marcia
RIGHT,"All __, cioè tutto bene"
CABINA DI REGIA,È tappezzata di monitor
VILNA,"La capitale lituana, in Italia"
ABBANDONO DI MINORE,Reato ai danni di ragazzi
API,Si allevano in cassette
PORTIERI DI NOTTE,Dipendenti degli alberghi
HALL,Vi si incontrano gli ospiti dell'hotel
GARNI,Un hotel con l'angolo cottura in camera
SRL,Una sigla aziendale
SPA,Note terme del Belgio
SPA,La zona wellness in hotel
TRIVAGO,Sito frequentato da chi è alla ricerca di un hotel
FRATINI,Uccelletti delle zone costiere simili ai corrieri
LILI,Un film con la Caron
ANN,La Todd del cinema
MI,L'io lombardo
INERTE,"Ozioso, inoperoso"
RESCISSO,Come un contratto che non c'è più
SONNECCHIARE,Dormicchiare
ING DIRECT,Vecchio nome della banca del leone arancione
CONTACTLESS,Il pagamento fatto sfiorando il POS con il bancomat
GMT,Era il fuso orario di riferimento della Terra (sigla)
ATM,Lo sportello automatico comunemente detto Bancomat (sigla)
ATM,Simbolo dell'atmosfera
ATM,Atmosfera in breve
PRELEVARE,Prendere dal Bancomat
FAO,Ente dell'ONU che si occupa di alimentazione (sigla)
ANASTACIA,Una popolare cantante americana
MILANISTA,Un tifoso rossonero
HALLOWEEN,La festa USA per cui si intagliano le zucche
WESTERN,Il film con Pellirosse e cowboy
SCOLARI,Ragazzi in classe
RINITE,L'infiammazione nasale
SOLFORICO,L'acido nelle batterie delle automobili
RICARICARE,Rivitalizzare il telefonino
WASP,La sigla dei più tipici americani bianchi
FED,La sigla che indica la Banca Centrale degli USA
GSM,Diffuso standard di telefonia
GSM,Una sigla da telefonini
GSM,Lo standard della fonia
SEI,Sui telefonini vale MNO
MECCANISMO,Fa funzionare l'orologio
LCD,La sigla che indica il visore a cristalli liquidi
NEH,Un intercalare settentrionale
SET,Lo predispone lo scenografo
SEI,I game da vincere a tennis
DE SIO,Due sorelle artiste
PO,Scorre da Ovest a Est
ANNOIATO,Lo è spesso lo snob
CICLO DI CARNOT,Importante serie di trasformazioni termodinamiche
CAPOLINEA,È spesso indicato sul frontale del bus
ULTRAVIOLETTO,Raggio non visibile
ULTRAVIOLETTO,Un colore non visibile dall'occhio umano
OVEST,Il punto indicato dalla W
GOT,"Sigla che, negli esami del sangue, indica un tipo di transaminasi"
PETRICORE,Il profumo della terra appena bagnata dalla pioggia
BRIGITTE,Il nome della Bardot
CAMERUN,Confina con la Nigeria
GONDOLE,Si spostano sul Canal Grande
PICASSO,Un maestro del Cubismo
SOLE,Lo oscurano le nuvole
MOTTI,Quelli di spirito sono divertenti
ZALANDO,Nota società tedesca di commercio on line
ETNOBOTANICA,Studia le società umane e il loro rapporto con le piante
SVAN,La società dei primi MAS
SAS,Una società
SAS,Fa volare gli Scandinavi
SAS,Compagnia di bandiera di Danimarca e Norvegia
SPA,Società per... rilassarsi
SPA,Il centro benessere di molti alberghi
SPA,Una società per azioni
SRL,Una sigla da aziende
SRL,Forma societaria
SRL,Segue il nome di certe aziende
LG,Società coreana d'apparecchiature elettroniche e televisori
ENIT,Si interessa di turismo (sigla)
BMW,Una concorrente dell'Audi
RIMBORSARE,Restituire il denaro ricevuto
NERONE,L'imperatore che uccise Poppea con un calcio
EVASE,Sbrigate... alla scrivania
EGIDA,Ala protettrice
APPRODO,L'attracco della nave in porto
DISTESO,Mentalmente rilassato
TORO ROSSO,La scuderia italiana di F.1 oggi detta AlphaTauri
RIO DE JANEIRO,La città dei Fluminensi
VARIANTE ASCARI,Un famoso passaggio del circuito di Monza
SPA,Le cure termali odierne
SPA,Un centro benessere
SPA,La società degli azionisti
ASCARI,Dà nome a una variante del circuito automobilistico di Monza
GP,Si corrono in Formula Uno
PERMEKE,"Constant ..., scultore espressionista belga"
NUBIFRAGIO,Può provocare gravi danni
POP ART,La seguì Andy Warhol
LAVAGNE,Le tavole nere delle scuole
SABINE,Romolo ordinò di rapirle
JACUZZI,La vasca idromassaggio per antonomasia
BRIOSO,"Vivace, pieno di vita"
WELLNESS,Il benessere delle spa
MASSOTERAPIA,Si pratica per dare benessere ai muscoli
SPA,Circuito belga
MONS,Una città belga
